Model,image,tp,fp,fn,precision,recall,f1,num_gt_objects,num_pred_objects,luminance_mean,luminance_norm,luminance_var,blur,entropy,density,occupied_ratio,presence_mosh_pit,presence_hands_raised
pretrained,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0071.jpg,0,0,1,0.0,0.0,0.0,1,0,170.26382378472223,0.6677012697440088,2915.3428232258925,188.43351087765163,6.678388529140439,4.340277777777778e-06,0.016242168453000014,0,0
pretrained,Slipknot - Before I Forget - Live @ Rock am Ring 2009-nWyh1ZtCiQA_frame_0073.jpg,0,0,1,0.0,0.0,0.0,1,0,156.53803819444445,0.6138746595860567,5608.120106915208,230.81953989069433,6.634497331363347,4.340277777777778e-06,0.010686798499999992,0,1
pretrained,"System Of A Down - Circle Pit (Amsterdam, Ziggo Dome) 2015-_Els4rEAEUk_frame_0003.jpg",0,0,4,0.0,0.0,0.0,4,0,90.09819444444445,0.35332625272331153,2588.5174874807094,696.0617051153954,7.500331405381978,3.08641975308642e-05,0.04227159204,0,1
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0058.jpg,0,0,1,0.0,0.0,0.0,1,0,111.68088975694444,0.43796427355664486,3423.3375132708325,87.49069417677514,7.429421143780879,4.340277777777778e-06,0.019789918433999996,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0070.jpg,0,0,4,0.0,0.0,0.0,4,0,119.84349826388889,0.4699745029956427,3663.185654776039,722.2024515552474,7.588509583627606,1.736111111111111e-05,0.18842475904000006,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0101.jpg,0,0,1,0.0,0.0,0.0,1,0,97.94108072916667,0.3840826695261438,1612.0065328598023,72.56504231770833,6.797833153466561,4.340277777777778e-06,0.077027312868,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0118.jpg,1,2,1,0.3333333333333333,0.5,0.4,2,3,80.28713107638889,0.31485149441721133,1221.3406416824719,172.7215232201847,6.379599525967664,8.680555555555556e-06,0.176251256356,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0177.jpg,0,0,2,0.0,0.0,0.0,2,0,81.21366753472222,0.31848497072440085,907.9584477471059,29.410242691981935,6.691757304090917,8.680555555555556e-06,0.354652056861,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0268.jpg,0,1,1,0.0,0.0,0.0,1,1,75.8755859375,0.2975513174019608,1613.0989265229966,63.48505844899872,7.039220182301658,4.340277777777778e-06,0.040579884000000004,0,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0308.jpg,0,0,1,0.0,0.0,0.0,1,0,72.59747829861111,0.2846959933278867,1881.5606542312994,158.8064753145948,7.124005956446839,4.340277777777778e-06,0.23538604827599996,1,0
pretrained,TSAR - Live @ HELLFEST 2025-Ia5Z7TQfHIE_frame_0349.jpg,0,0,1,0.0,0.0,0.0,1,0,89.8319140625,0.3522820159313726,4189.735692430117,133.36918513628174,7.147766281299123,4.340277777777778e-06,0.5927735232499999,1,0
scratch,GUTALAX - Live @ HELLFEST 2025-LNsKRschF64_frame_0067.jpg,0,0,2,0.0,0.0,0.0,2,0,162.6306857638889,0.6377673951525055,1346.3444229672282,111.26163112943671,6.848336879911887,8.680555555555556e-06,0.50482126954,0,0
scratch,GUTALAX - Live @ HELLFEST 2025-LNsKRschF64_frame_0306.jpg,0,1,2,0.0,0.0,0.0,2,1,101.98833333333333,0.39995424836601307,1545.9663829861113,341.68754814300536,7.174936931574107,8.680555555555556e-06,0.39348610891499997,0,0
scratch,GUTALAX - Live @ HELLFEST 2025-LNsKRschF64_frame_0339.jpg,0,0,2,0.0,0.0,0.0,2,0,168.79866753472223,0.661955558959695,2803.8599470092577,189.22525811986105,7.308829293332921,8.680555555555556e-06,0.514221539644,0,0
scratch,GUTALAX - Live @ HELLFEST 2025-LNsKRschF64_frame_0393.jpg,0,0,1,0.0,0.0,0.0,1,0,86.1823828125,0.3379701286764706,2069.738164461094,143.12859582201168,7.270072826750628,4.340277777777778e-06,0.018350078999999995,0,0
scratch,IMG_3363_frame_0067.jpg,0,0,4,0.0,0.0,0.0,4,0,21.386959273726852,0.08387042852441903,1352.7161150233699,25.19166483369037,5.148794149735462,1.4467592592592592e-06,0.0008605785000000034,0,0
scratch,IMG_3363_frame_0081.jpg,0,0,5,0.0,0.0,0.0,5,0,24.97206958912037,0.09792968466321714,1854.7885695738619,45.46627849410868,5.445985011174852,1.8084490740740741e-06,0.0008826684430000022,0,0
scratch,IMG_3363_frame_0082.jpg,0,0,5,0.0,0.0,0.0,5,0,61.45739800347222,0.2410094039351852,2508.3202322342404,42.12491461423971,7.194872087336434,1.8084490740740741e-06,0.0012999247089999994,0,1
scratch,IMG_3365_frame_0015.jpg,0,0,2,0.0,0.0,0.0,2,0,36.42877821180556,0.1428579537717865,2340.432799274017,14.236597568521239,6.374528996946611,7.233796296296296e-07,5.431602600000048e-05,0,0
scratch,IMG_3375_frame_0038.jpg,0,0,1,0.0,0.0,0.0,1,0,105.45229347511574,0.4135384057847676,4130.901696888412,46.48492798196599,7.619964424064447,3.616898148148148e-07,0.003560855339999996,1,0
scratch,IMG_3376_frame_0001.jpg,0,0,6,0.0,0.0,0.0,6,0,50.45055519386574,0.197845314485748,1131.2434080757291,4.911737917450196,6.623547825253167,2.170138888888889e-06,0.010490297675000001,0,0
scratch,IMG_3377_frame_0062.jpg,0,0,2,0.0,0.0,0.0,2,0,37.31078884548611,0.1463168190019063,829.7021389538224,10.368527198985639,6.4875539923099765,7.233796296296296e-07,0.0002445237720000005,0,0
scratch,IMG_3377_frame_0088.jpg,0,0,2,0.0,0.0,0.0,2,0,39.850032552083334,0.15627463745915032,952.5773151754454,8.195308520129872,6.193931734949618,7.233796296296296e-07,0.0005762001840000013,0,0
scratch,IMG_3377_frame_0089.jpg,0,0,1,0.0,0.0,0.0,1,0,50.31598054108796,0.19731757074936454,1660.1896698248518,7.102858070839775,6.530723446871736,3.616898148148148e-07,0.00014874360599999878,0,0
scratch,IMG_3384_frame_0010.jpg,3,5,5,0.375,0.375,0.375,8,8,167.36536506558642,0.656334764963084,1226.4690512893737,23.52805889355603,7.057817839760787,3.858024691358025e-06,0.109814247134,0,0
scratch,IMG_3384_frame_0035.jpg,0,0,8,0.0,0.0,0.0,8,0,176.8458063271605,0.6935129659888647,1544.2427241183548,9.864331097889108,7.156678618561529,3.858024691358025e-06,0.012596253241000012,0,0
scratch,IMG_3384_frame_0054.jpg,1,7,5,0.125,0.16666666666666666,0.14285714285714288,6,8,132.38620997299384,0.5191616077372307,2409.1759117834567,19.3711216918629,7.563210838378047,2.8935185185185184e-06,0.01400402623200001,0,0
scratch,IMG_3384_frame_0090.jpg,0,2,4,0.0,0.0,0.0,4,2,152.87228780864197,0.5994991678770273,1954.0388545267333,11.041455217367208,7.2988263434202425,1.9290123456790124e-06,0.006772696052999999,0,0
scratch,IMG_3400_frame_0071.jpg,0,0,7,0.0,0.0,0.0,7,0,158.48021942515433,0.6214910565692326,1551.9966872396615,32.337560272051896,7.216255119571597,3.375771604938272e-06,0.008568603513000012,0,0
scratch,IMG_3405_frame_0003.jpg,0,0,4,0.0,0.0,0.0,4,0,55.21828366126543,0.21654228886770757,743.0853812748602,7.688917823835922,6.017250552787853,1.9290123456790124e-06,0.0027984540470000025,0,0
scratch,IMG_3405_frame_0012.jpg,0,0,4,0.0,0.0,0.0,4,0,64.63251977237654,0.25346086185245703,1693.7997050994363,10.12507173143459,6.801379211089385,1.9290123456790124e-06,0.005387950587000003,0,0
scratch,IMG_3405_frame_0023.jpg,0,0,5,0.0,0.0,0.0,5,0,173.72860532407407,0.6812886483297023,956.4309774530269,7.38356673257087,6.853056045447413,2.4112654320987654e-06,0.006986823637000004,0,0
scratch,IMG_3405_frame_0029.jpg,0,1,3,0.0,0.0,0.0,3,1,182.50642119984568,0.7157114556856693,1050.3270334209706,11.106201077656804,6.865060995995007,1.4467592592592592e-06,0.005413311979999992,0,0
scratch,IMG_3462_frame_0073.jpg,0,0,1,0.0,0.0,0.0,1,0,161.13009837962963,0.6318827387436456,1709.7273230613087,41.63389563697057,7.316203175230425,4.822530864197531e-07,0.07346793377500002,0,1
scratch,IMG_3479_frame_0018.jpg,0,0,1,0.0,0.0,0.0,1,0,122.95692756558643,0.4821840296689664,301.4537220223381,6.621138999069387,5.783864799057918,4.822530864197531e-07,0.22645965370599994,1,0
scratch,IMG_3627_frame_0013.jpg,0,0,2,0.0,0.0,0.0,2,0,23.730126953125,0.09305932138480393,941.7751405437779,7.602567634912032,5.6471850782957915,7.233796296296296e-07,0.0022477278460000024,0,0
scratch,IMG_3629_frame_0015.jpg,0,0,2,0.0,0.0,0.0,2,0,8.636188874421297,0.03386740735067175,524.6733304840021,27.983512347477884,3.70921726927107,7.233796296296296e-07,0.0009095586840000018,0,0
scratch,IMG_3640_frame_0033.jpg,0,0,1,0.0,0.0,0.0,1,0,22.503364438657407,0.08824848799473493,1129.6690996469877,15.445083548170246,5.629829287652559,3.616898148148148e-07,0.00019753867699999838,0,1
scratch,IMG_3643_frame_0003.jpg,0,0,1,0.0,0.0,0.0,1,0,23.86443431712963,0.09358601692992011,1418.8303106994856,20.20662133398255,5.631838603296771,4.822530864197531e-07,0.0008472467160000057,0,1
